id,name,type,type_name,type_description,address,zip_code,city,country,latitude,longitude
0090440,Kreuzlingen - Seepark,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Bleichestrasse 15,8280,Kreuzlingen,CH,47.6418058,9.1960063
0090443,Romanshorn - Hubzelg,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Bahnhofstrasse 54a,8590,Romanshorn,CH,47.5646479,9.3674826
0090445,Rorschach - Trischliplatz,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Trischlistrasse 15,9400,Rorschach,CH,47.4778206,9.4889596
0090447,St. Gallen - Silberturm,m,M-Migros,Kleine Filiale mit Grundsortiment,Rorschacherstrasse 150,9006,St. Gallen,CH,47.4311418,9.3950643
0090448,St. Gallen - St. Fiden,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Bachstrasse 29,9008,St. Gallen,CH,47.4358241,9.391591
0090450,Uzwil - Birkenhof,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Lindenstrasse 5,9240,Uzwil,CH,47.436874,9.133884
0090452,Wattwil,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Bahnhofstrasse 19,9630,Wattwil,CH,47.2984452,9.0881625
0090455,Weinfelden - Rösslifelsen,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Amriswilerstrasse 12,8570,Weinfelden,CH,47.5674427,9.1110836
0090458,Widnau - Rhydorf-Center,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Bahnhofstrasse 2,9443,Widnau,CH,47.4077549,9.6288579
0090461,Wil SG,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Obere Bahnhofstrasse 5,9500,Wil,CH,47.4628222,9.0423748
0090466,Thusis - im Park,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Im Park,7430,Thusis,CH,46.6944915,9.4398532
0090467,Ilanz - Center Marcau,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Poststrasse 4,7130,Ilanz,CH,46.7745715,9.2075797
0090468,Samedan,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Cho d`Punt 10,7503,Samedan,CH,46.531044,9.873851
0090471,Mels - Pizolpark,mmm,MMM-Migros,Grosse Filiale mit Vollsortiment,Grossfeldstrasse 56,8879,Mels,CH,47.04178,9.4308
0090475,St. Margrethen - Rheinpark,mmm,MMM-Migros,Grosse Filiale mit Vollsortiment,Neudorfstrasse 60,9430,St.Margrethen,CH,47.450115,9.651184
0090478,St. Gallen - Neumarkt,mmm,MMM-Migros,Grosse Filiale mit Vollsortiment,St. Leonhardstrasse 35,9000,St.Gallen,CH,47.422127,9.370636
0090491,Abtwil - Säntispark,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Wiesenbachstrasse 7,9030,Abtwil,CH,47.41782,9.316143
0093120,Winterthur - Obertor,m,M-Migros,Kleine Filiale mit Grundsortiment,Stadthausstrasse 31,8400,Winterthur,CH,47.5003636,8.7317613
0093130,Schaffhausen - Buchthalen,m,M-Migros,Kleine Filiale mit Grundsortiment,Dürstlingweg 2,8203,Schaffhausen,CH,47.6992534,8.6542202
0093175,Turbenthal,m,M-Migros,Kleine Filiale mit Grundsortiment,Tösstalstrasse 54,8488,Turbenthal,CH,47.4385237,8.8445994
0093300,Bauma,m,M-Migros,Kleine Filiale mit Grundsortiment,Heinrich - Gujerstrasse 10,8494,Bauma,CH,47.3681049,8.8775133
0093600,Frauenfeld - Multiplex,m,M-Migros,Kleine Filiale mit Grundsortiment,Langfeldstrasse 53a,8500,Frauenfeld,CH,47.565858,8.9052823
0093610,Winterthur - Blumenau,m,M-Migros,Kleine Filiale mit Grundsortiment,Wülflingerstrasse 71,8400,Winterthur,CH,47.5068665,8.711992
0093620,Diessenhofen,m,M-Migros,Kleine Filiale mit Grundsortiment,Bahnhofstrasse 15,8253,Diessenhofen,CH,47.6859558,8.7521372
0093650,Hinwil,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Bachtelstrasse 16,8340,Hinwil,CH,47.30048,8.844325
0093670,Schaffhausen - Breite,m,M-Migros,Kleine Filiale mit Grundsortiment,Hohlenbaumstrasse 79,8200,Schaffhausen,CH,47.7064686,8.6200072
0093680,Winterthur - Hegi,mm,MM-Migros,Mittlere Filiale mit erweitertem Sortiment,Hintermühlenstrasse 4,8409,Winterthur,CH,47.5042465,8.7721562
0093690,Winterthur - Wülflingen,m,M-Migros,Kleine Filiale mit Grundsortiment,Lindenplatz 1,8408,Winterthur,CH,47.5108438,8.6937262
0093700,Beringen,m,M-Migros,Kleine Filiale mit Grundsortiment,Schaffhauserstrasse 72,8222,Beringen,CH,47.6963713,8.5838803
0093710,Thayngen,m,M-Migros,Kleine Filiale mit Grundsortiment,Biberstrasse 30,8240,Thayngen,CH,47.7488083,8.7067801
0093720,Seuzach,m,M-Migros,Kleine Filiale mit Grundsortiment,Winterthurerstrasse 5,8472,Seuzach,CH,47.5355288,8.7303174
0093740,Steckborn,m,M-Migros,Kleine Filiale mit Grundsortiment,Im Feldbach 1b,8266,Steckborn,CH,47.6639509,8.9758158
0093750,Neunkirch,m,M-Migros,Kleine Filiale mit Grundsortiment,Löhningerstrasse 4,8213,Neunkirch,CH,47.6903787,8.5045443
0093770,Wald ZH,m,M-Migros,Kleine Filiale mit Grundsortiment,Bahnhofstrasse 20,8636,Wald,CH,47.2748553,8.9147079
0093780,Aadorf,m,M-Migros,Kleine Filiale mit Grundsortiment,Bahnhofstrasse 2,8355,Aadorf,CH,47.4900907,8.8994059
0093790,Andelfingen,m,M-Migros,Kleine Filiale mit Grundsortiment,Weinlandstrasse 4,8451,Kleinandelfingen,CH,47.601998,8.6887258
0093800,Fehraltorf,m,M-Migros,Kleine Filiale mit Grundsortiment,Grundstrasse 4,8320,Fehraltorf,CH,47.3866248,8.755505
0093810,Winterthur - Deutweg,m,M-Migros,Kleine Filiale mit Grundsortiment,Pflanzschulstrasse 9,8400,Winterthur,CH,47.4947417,8.7402503
