id,name,type,latitude,longitude,city,radius_minutes
44410,Meyrin,mm,46.2319199,6.0826195,Meyrin,20
44430,Genève - Navigation,mm,46.212579,6.14974,Genève,20
44450,Genève - Les Cygnes,mm,46.2113723,6.1449087,Genève,20
44470,Nyon - La Combe,mmm,46.3827028,6.2348109,Nyon,20
44530,Lancy-Onex,mm,46.1885214,6.1100997,Petit-Lancy,20
44550,Grand-Lancy - Palettes,mm,46.1749719,6.1223706,Grand-Lancy,20
44590,Plan-les-Ouates,mm,46.1674266,6.1148529,Plan-les-Ouates,20
44600,Pont-Rouge,m,46.1872348,6.1274789,Grand-Lancy,20
44730,Genève - Rieu,mm,46.1919217,6.1639476,Genève,20
44810,Servette,mm,46.2134099,6.1296584,Genève,20
44830,Thônex,mm,46.1930274,6.1996185,Thônex,20
44840,Genève - Tourelle,m,46.2243865,6.1258169,Genève,20
44860,Vernier - Arcenter,m,46.2167048,6.0833327,Vernier,20
44880,Collonge-Bellerive - Vésenaz,mm,46.240334,6.1985909,Collonge-Bellerive,20
44890,Genève - Vidollet,m,46.2162367,6.1391683,Genève,20
44900,Genève - Villereuse,mm,46.2007706,6.1588299,Genève,20
44920,Porte de Versoix,mm,46.2744374,6.1674765,Versoix,20
44950,Carouge - Vibert,mm,46.1824507,6.1344054,Carouge GE,20
49000,Thoiry (F),mmm,46.2286354,5.9941326,Thoiry,20
49010,Etrembières (F),mmm,46.1810413,6.2322629,Etrembières,20
49030,Neydens (F),m,46.123435,6.0976331,Neydens,20
49100,VOI Genève-Cirque,voi,46.2010565,6.1397642,Genève,20
49101,VOI Meyrin - Les Vergers,voi,46.2309568,6.0668592,Meyrin,20
49102,VOI Gland,voi,46.4232158,6.2617789,Gland,20
49103,VOI Bellevue,voi,46.250263,6.146959,Bellevue,20
63620,Echallens,mm,46.639032,6.635783,Echallens,20
63625,Renens Quai Ouest,m,46.53747,6.577771,Renens VD,20
63630,Estavayer-le-Lac,mm,46.847963,6.8513418,Estavayer-le-Lac,20
63635,Vevey Des 2 Gares,mm,46.46498,6.842394,Vevey,20
63640,Bex,m,46.25036,7.015925,Bex,20
63645,Noville,m,46.388385,6.920954,Noville,20
63655,Préverenges,m,46.518125,6.517526,Préverenges,20
63660,Lausanne - Cour,m,46.51559,6.617706,Lausanne,20
63665,Aigle gare,m,46.316276,6.964818,Aigle,20
63675,Chavannes les Cèdres,m,46.529935,6.572694,Chavannes-près-Renens,20
63680,Cossonay,m,46.613976,6.506806,Cossonay-Ville,20
63690,Ecublens - Croset,mm,46.534255,6.564657,Ecublens,20
63695,Blécherette,m,46.539434,6.618219,Lausanne,20
63710,Lausanne - La Harpe,m,46.512339,6.625935,Lausanne,20
63720,Cugy,m,46.585431,6.640202,Cugy VD,20
63730,Blonay,m,46.465325,6.89541,Blonay,20
63740,Vallorbe,m,46.711924,6.377775,Vallorbe,20
63750,Yverdon Sud,m,46.767975,6.650346,Yverdon-les-Bains,20
63770,Lausanne - Sévelin,m,46.5216627,6.6166202,Lausanne,20
63810,Oron-la-Ville,m,46.571906,6.825843,Oron-la-Ville,20
63820,Prilly,m,46.533247,6.607706,Prilly,20
63825,Orbe Gruvatiez,m,46.721355,6.537643,Orbe,20
63835,Lutry – La Conversion,m,46.513393,6.676909,La Conversion,20
63840,Sainte-Croix,m,46.819684,6.502962,Ste-Croix,20
63850,La Vallée,m,46.605846,6.230565,Le Sentier,20
63865,Lausanne - La Borde,m,46.526959,6.633064,Lausanne,20
63870,Prilly - Malley,m,46.527394,6.602872,Prilly,20
63880,Lausanne - Bellevaux,m,46.537606,6.63363,Lausanne,20
63895,Lausanne - Flon Europe,m,46.5206694,6.6296469,Lausanne,20
